Tipo;Distrito;Cuartos;Vacantes;Suites;Area;Valor;Mantenimiento;Impuesto
Tienda/Salón;Ate;0;1;0;60;2500;859;
Local comercial;Callao;0;1;0;39;800;600;56
Departamento;Ate;2;2;0;70;1900;1400;
Departamento;Jesús María;3;4;1;218;3300;987;5160
Departamento;San Borja;2;0;0;84;2300;1050;117
Departamento;Ate;2;1;1;77;2000;966;
Departamento;Ate;1;1;0;60;2700;1580;350
Local comercial;Pachacámac;0;0;0;25;399;380;78
Local comercial;Pachacámac;0;0;0;42;1200;1065;164
Departamento;Comas;2;1;2;92;7500;3500;1000
Departamento;Pueblo Libre;2;1;1;76;3500;750;207
Local comercial;Pachacámac;0;0;0;30;400;500;80
Departamento;Jesús María;3;2;2;200;3000;815;3500
Departamento;San Borja;3;2;1;350;14000;1542;402
Departamento;Ancón;4;2;2;137;5100;2060;281
Local comercial;Ate;0;1;0;36;2300;1000;2050
Local comercial;Ate;0;1;0;36;1200;800;150
Local comercial;Ate;0;1;0;51;2040;1000;
Local comercial;Pachacámac;0;0;0;577;28845;8942;
Departamento;Callao;2;1;1;84;1800;700;1080
Departamento;San Borja;3;2;1;250;5500;1980;400
Local comercial;Comas;0;1;0;29;800;550;
Departamento;Comas;1;1;0;64;900;600;
Departamento;Pueblo Libre;3;2;1;110;5500;1600;516
Habitación;Pachacámac;1;0;0;46;800;350;
Departamento;Comas;3;1;1;140;7200;2900;863
Local comercial;Pachacámac;0;0;0;379;15160;5613;1843
Departamento;Jesús María;4;0;2;380;4000;1100;
Departamento;San Borja;2;0;0;72;2000;725;
Departamento;Comas;4;2;1;175;13000;2717;1298
Local comercial;Comas;0;1;0;320;15000;7850;2377
Casa en condominio;Jesús María;6;4;5;650;10000;1134;1487
Local comercial;Pachacámac;0;0;0;150;1500;2334;320
Local comercial;Puente Piedra;0;0;0;75;800;;75
Departamento;Chorrillos;2;1;1;66;950;640;74
Departamento;Comas;2;0;0;60;900;130;14
Departamento;San Borja;2;0;0;73;2500;730;
Departamento;San Miguel;1;0;0;40;900;640;21
Local comercial;Pachacámac;0;0;0;135;4000;1500;610
Local comercial;Lince;0;1;0;40;500;844;53
Local comercial;Pachacámac;0;0;0;283;9500;3600;1478
Local comercial;Ate;0;2;0;150;7900;4760;1550
Casa;La Perla;5;8;5;1000;25000;;14000
Departamento;Callao;2;1;1;90;1500;300;82
Departamento;Ate;1;1;0;57;1200;1512;280
Departamento;Villa El Salvador;3;2;1;170;6000;1450;563
Departamento;Santiago de Surco;1;0;0;45;1700;250;75
Departamento;Ate;3;2;1;220;6000;3300;650
Local comercial;San Martín de Porres;0;5;0;150;6900;3800;370
Local comercial;Puente Piedra;0;0;0;135;3500;;
Almacén;Pucusana;0;90;0;7713;80000;;6000
Departamento;Rímac;3;2;1;180;9500;2800;612
Local comercial;San Luis;0;1;0;22;1100;390;90
Departamento;Santiago de Surco;2;1;2;92;3500;552;200
Casa comercial;Lince;0;0;0;130;2500;;150
Departamento;Jesús María;3;1;0;81;1700;639;198
Local comercial;Ate;0;1;0;31;1600;1068;246
Casa;Lince;1;0;0;60;450;;20
Habitación;Lurín;0;0;0;37;1100;676;
Departamento;San Borja;1;1;0;69;2700;836;166
Departamento;Pueblo Libre;2;1;1;100;2900;1449;420
Local comercial;Puente Piedra;0;80;0;6000;390000;115000;
Departamento;Ate;3;2;3;160;4500;1500;180
Local comercial;Ate;0;19;0;950;160664;;
Local comercial;Callao;0;1;0;24;1000;296;
Local comercial;Ate;0;1;0;29;1600;1100;
Departamento;San Miguel;2;0;0;80;1400;850;
Departamento;Mi Perú;2;0;0;65;950;;
Tienda en Centro Comercial;Pachacámac;0;0;0;10;4500;;73
Departamento;Ate;4;3;2;160;5799;2300;330
Departamento;Rímac;2;2;2;140;6000;1800;420
Departamento;San Borja;1;0;0;45;1700;505;67
Casa;Santiago de Surco;1;0;0;50;700;;
Local comercial;Pachacámac;0;0;0;58;1244;2235;86
Local comercial;San Borja;0;1;0;166;7000;3400;6468
Local comercial;Pachacámac;0;0;0;323;12000;5520;
Departamento;Carmen de La Legua;2;0;0;38;800;;
Almacén;Chaclacayo;0;0;0;411;11000;;12681
Loft;Santiago de Surco;1;0;1;64;2500;650;1577
Departamento;San Borja;3;0;2;120;6000;977;234
Almacén;Chaclacayo;0;20;0;800;6000;;252
Departamento;Ate;2;2;1;105;6000;2450;2070
Departamento;Chorrillos;3;2;1;157;4400;1950;360
Departamento;Ate;2;1;1;82;2300;1260;265
Edificio completo;Pachacámac;0;0;0;675;35000;;
Departamento;Lince;2;1;0;64;2100;650;416
Departamento;Ancón;2;1;0;56;1000;370;
Departamento;La Punta;3;2;1;103;1700;640;
Habitación;San Borja;1;0;1;23;1500;400;
Departamento;San Borja;1;0;0;24;1400;475;53
Departamento;Ate;5;3;4;260;10900;3000;550
Departamento;San Luis;2;0;0;62;1300;450;46
Local comercial;Pachacámac;0;0;0;29;600;650;
Local comercial;San Martín de Porres;0;1;0;28;1000;800;
Almacén;Santa Rosa;0;0;0;3800;65000;;2000
Departamento;Callao;2;1;0;62;900;575;14
Departamento;Chorrillos;2;0;0;70;700;116;
Departamento;Rímac;3;1;0;110;4200;1100;
Departamento;San Bartolo;1;0;0;40;1200;700;633
Departamento;Lince;2;1;0;60;600;194;
Departamento;Ate;3;1;1;120;3250;1650;
Departamento;Jesús María;3;3;1;180;2000;1367;
Departamento;Pucusana;2;1;0;80;1800;450;220
Departamento;San Borja;2;2;1;78;3680;841;
Departamento;San Borja;3;1;0;177;2100;1856;
Departamento;San Borja;2;0;0;66;2500;911;
Local comercial;Pachacámac;0;0;0;43;600;1190;242
Departamento;Lince;3;1;1;68;1300;617;
Departamento;Comas;2;1;0;70;2900;1060;202
Departamento;Punta Hermosa;4;1;1;170;5800;1700;2500
Local comercial;Pachacámac;0;0;0;219;18000;4312;1218
Departamento;San Martín de Porres;2;1;0;54;1800;432;
Departamento;San Borja;1;0;1;40;1700;510;23
Tienda/Salón;Ate;0;3;0;450;30000;10112;6375
Local comercial;Ate;0;1;0;59;1800;1958;405
Departamento;Ate;1;1;1;72;1800;920;198
Departamento;Comas;1;0;1;39;7000;460;1024
Tienda/Salón;San Luis;0;0;0;84;2500;;
Local comercial;Pachacámac;0;3;0;1322;125590;33050;6610
Flat;Lurigancho;2;1;2;50;3900;1800;170
Local comercial;Rímac;0;2;0;150;35000;7623;
Departamento;San Miguel;2;1;1;120;1600;874;190
Departamento;Rímac;1;1;1;57;4300;1631;304
Departamento;Lince;2;1;0;45;600;220;
Local comercial;Pachacámac;0;0;0;201;8400;4302;1245
Almacén;Ate;0;0;0;140;4900;;
Departamento;Villa El Salvador;2;1;0;63;2000;805;91
Casa;San Luis;2;0;0;100;1200;;43
Casa en condominio;San Luis;2;1;1;110;2000;504;
Habitación;Chaclacayo;1;0;0;23;850;397;25
Local comercial;Pachacámac;0;0;0;6;1227;;
Departamento;Ventanilla;1;1;0;66;1200;750;20
Departamento;Ventanilla;3;0;0;88;1100;130;
Departamento;Ate;2;1;1;65;2400;860;140
Departamento;San Borja;4;1;0;250;4500;2100;
Habitación;Lurín;0;0;0;20;700;450;30
Casa en condominio;Ate;3;2;3;349;8000;850;583
Departamento;La Punta;2;1;1;65;1700;650;590
Departamento;La Molina;2;1;1;65;1200;630;
Edificio completo;Chorrillos;0;0;0;1200;80000;;3107
Edificio completo;Puente Piedra;0;0;0;500;5500;;600
Local comercial;Chorrillos;0;3;0;134;12000;5111;816
Departamento;Comas;3;2;1;150;6300;2200;387
Departamento;Ate;2;1;1;91;4000;3435;545
Departamento;Pueblo Libre;3;2;1;120;3500;1440;426
Departamento;San Borja;2;0;0;90;2550;670;130
Local comercial;Comas;0;0;0;45;4500;1400;400
Casa de villa;Santiago de Surco;1;0;0;50;730;;
Local comercial;Pachacámac;0;0;0;30;600;370;185
Departamento;Punta Hermosa;2;0;0;60;2400;150;120
Departamento;El Agustino;2;1;0;58;1100;245;
Departamento;Ate;1;1;0;82;1700;2114;
Departamento;Comas;2;2;0;110;4200;1500;250
Departamento;Ate;2;1;2;77;1000;1104;72
Local comercial;Callao;0;1;0;23;500;530;47
Local comercial;Pachacámac;0;0;0;150;2000;2400;520
Departamento;Ventanilla;2;1;0;68;1400;550;50
Casa;Ancón;2;0;0;89;700;180;
Local comercial;Pachacámac;0;0;0;170;5450;500;553
Departamento;Jesús María;3;2;1;103;3500;1000;200
Departamento;Ate;1;1;0;70;2000;1550;350
Departamento;Santa Anita;2;0;0;45;1000;500;
Departamento;Pachacámac;1;0;1;39;1650;580;51
Local comercial;Puente Piedra;0;7;0;1102;77111;26988;1927
Casa de villa;Santa María del Mar;2;0;0;58;1000;;13
Local comercial;Pachacámac;0;0;0;80;3200;806;320
Cochera;Pachacámac;0;0;0;0;270;;
Departamento;San Miguel;2;0;0;90;1700;530;
Departamento;Jesús María;2;2;1;90;1500;826;85
Departamento;Lurín;2;0;0;70;2100;565;99
Local comercial;Pachacámac;0;0;0;35;600;594;134
Casa en condominio;Ate;4;4;0;800;15000;2000;
Departamento;San Bartolo;4;0;1;185;1800;2000;270
Departamento;Ate;1;0;0;38;3600;;
Tienda/Salón;Callao;0;0;0;120;9900;701;2003
Local comercial;Jesús María;0;1;0;26;600;441;170
Departamento;San Miguel;2;1;0;70;2300;840;
Departamento;Ate;3;2;2;150;6700;2100;570
Departamento;San Borja;3;0;0;106;2800;1052;170
Departamento;Jesús María;3;2;1;95;1950;680;190
Local comercial;Jesús María;0;1;0;30;1000;400;1
Local comercial;San Martín de Porres;0;1;0;30;1200;800;40
Departamento;San Borja;3;2;2;200;7000;2600;480
Departamento;Chorrillos;3;0;0;100;2300;670;127
Local comercial;Pachacámac;0;0;0;165;7920;3390;715
Local comercial;Ate;0;1;0;50;1800;980;
Departamento;Pueblo Libre;2;2;1;100;3500;750;
Departamento;Rímac;3;4;3;470;30000;6700;1300
Departamento;Villa El Salvador;1;0;0;30;1350;250;40
Tienda/Salón;San Borja;0;0;0;132;11000;772;1258
Departamento;Rímac;1;1;0;55;3000;728;183
Departamento;Callao;3;2;0;148;1400;1060;1585
Casa en condominio;La Punta;1;0;0;72;1200;100;
Departamento;Rímac;3;2;3;180;8000;3000;900
Departamento;Los Olivos;2;1;1;55;1200;716;
Departamento;Lince;3;1;1;65;1800;785;79
Local comercial;Pachacámac;0;0;0;340;15343;7439;2146
Departamento;Ate;3;2;1;113;3200;1500;
Departamento;Ate;3;1;1;109;2800;1516;1819
Flat;Comas;1;1;1;80;6000;2700;300
Departamento;San Borja;2;1;2;75;6490;1800;200
Casa en condominio;Ate;4;2;2;385;6500;1150;800
Local comercial;Pachacámac;0;0;0;200;6800;;
Departamento;Rímac;2;1;1;80;12800;700;240
Casa en condominio;Villa María del Triunfo;4;4;2;300;4000;600;
Casa en condominio;Ancón;3;2;1;130;1800;;
Casa de villa;Santa Rosa;3;0;0;80;1800;80;20
Departamento;Jesús María;3;1;1;166;3000;950;201
Tienda/Salón;Chorrillos;0;0;0;184;12000;;837
Departamento;Pueblo Libre;3;2;1;160;8500;2243;461
Casa de villa;Villa El Salvador;3;0;0;132;4800;;500
Edificio completo;Pachacámac;0;0;0;1042;28000;;7033
Departamento;Ate;4;3;4;340;7909;;
Departamento;Rímac;4;2;1;280;17000;5000;12000
Departamento;Ate;4;3;4;237;8100;3500;400
Departamento;San Borja;3;1;0;95;2900;1200;160
Departamento;Lince;3;0;2;80;1200;;2
Tienda en Centro Comercial;Jesús María;0;0;0;50;3500;250;2451
Local comercial;Ate;0;4;0;235;10000;4297;385
Local comercial;Pachacámac;0;0;0;25;700;409;83
Departamento;Ate;3;2;1;134;10000;2600;600
Edificio completo;Santa Anita;0;10;0;2000;30000;;6600
Casa en condominio;Pucusana;6;3;5;690;15000;1500;1250
Departamento;San Borja;3;0;1;110;3000;1400;
Local comercial;Pachacámac;0;0;0;360;14000;3767;1770
Departamento;Jesús María;2;1;1;75;1800;750;120
Departamento;San Borja;3;0;0;195;5000;1540;231
Almacén;San Luis;0;2;0;200;2500;;60
Local comercial;Pachacámac;0;0;0;200;9950;4960;971
Departamento;Lince;2;0;0;41;950;345;
Local comercial;Pachacámac;0;0;0;60;700;1075;219
Almacén;Santa Rosa;0;0;0;1236;12000;;2426
Departamento;Ate;1;1;0;50;2000;1130;
Departamento;San Miguel;2;1;0;64;1150;695;60
Local comercial;Pachacámac;0;0;0;90;5500;2700;362
Habitación;San Miguel;1;0;0;27;900;385;20
Departamento;Ate;3;2;2;250;6000;1230;
Casa;Lurín;10;0;10;200;15000;;200
Departamento;San Borja;2;0;0;65;2200;350;20
Departamento;Punta Hermosa;2;1;0;66;2100;900;93
Casa;El Agustino;1;0;0;45;600;;17
Departamento;Jesús María;2;1;1;75;1950;900;
Local comercial;Barranco;0;1;0;30;700;450;
Departamento;Comas;3;2;1;130;6500;1350;576
Almacén;La Molina;0;0;0;800;9000;;12000
Local comercial;Ate;0;6;0;165;6500;3000;900
Departamento;Ate;3;2;1;117;4500;990;684
Departamento;Comas;3;3;2;270;18000;2100;900
Local comercial;San Miguel;0;0;0;100;820;;814
Casa en condominio;Ate;7;4;5;622;10000;1380;1486
Departamento;San Borja;2;1;0;70;2500;946;125
Local comercial;Ate;0;1;0;80;3200;1079;883
Departamento;Mi Perú;2;0;0;47;1150;454;
Casa;Ate;5;4;2;421;12000;1668;1250
Departamento;Chaclacayo;1;0;0;30;900;310;
Local comercial;San Borja;0;0;0;300;9700;3000;1607
Local comercial;Pachacámac;0;0;0;64;580;960;259
Departamento;Chorrillos;3;1;3;108;6000;1380;364
Tienda/Salón;Chaclacayo;0;0;0;180;5000;;
Departamento;Jesús María;3;2;1;126;2500;600;130
Departamento;Ate;3;0;1;80;3500;500;13
Flat;Rímac;1;1;0;50;4300;1897;214
Departamento;Ate;4;3;4;262;18000;1850;9000
Departamento;Lince;1;0;0;65;650;110;
Departamento;Comas;4;2;3;250;20500;2536;
Departamento;Jesús María;3;2;1;110;2300;755;
Departamento;Comas;3;1;1;120;5200;1700;171
Local comercial;San Borja;0;0;0;30;1000;700;100
Departamento;San Borja;1;0;0;27;1200;300;
Departamento;Ate;4;0;3;276;6500;1700;800
Local comercial;Pachacámac;0;0;0;33;900;750;148
Local comercial;Pachacámac;0;0;0;310;8500;4200;1130
Departamento;Ate;2;1;1;63;2100;1400;110
Departamento;Rímac;2;2;1;94;7500;1211;
Local comercial;Lurigancho;0;0;0;28;870;432;135
Almacén;Pachacámac;0;83;0;34677;898134;;
Departamento;Santa Anita;3;1;0;60;1400;280;35
Local comercial;Ate;0;1;0;36;1600;700;190
Local comercial;Pachacámac;0;0;0;90;1000;1886;318
Departamento;San Luis;2;1;0;52;900;526;38
Departamento;San Miguel;3;1;1;90;2200;716;
Departamento;Ate;1;1;0;62;3000;1300;
Departamento;San Borja;2;1;1;84;3800;737;
Departamento;Punta Hermosa;4;3;3;285;12000;2800;
Departamento;Ate;2;1;1;65;1500;944;112
Departamento;Callao;3;2;1;116;2200;1100;150
Almacén;Lince;0;4;0;1601;27217;4418;960
Departamento;Ate;2;2;1;117;6000;2100;730
Local comercial;Pachacámac;0;14;0;600;20000;2430;1318
Edificio completo;Punta Negra;0;4;0;864;12000;;
Almacén;San Martín de Porres;0;0;0;1200;13000;;34
Departamento;Ate;3;2;3;105;3000;1500;280
Tienda en Centro Comercial;Comas;0;1;0;28;4500;1500;450
Local comercial;Ate;0;2;0;65;3000;2801;696
Local comercial;Pachacámac;0;0;0;31;450;660;84
Casa en condominio;Jesús María;5;2;4;197;4000;960;353
Local comercial;Pachacámac;0;0;0;156;7000;1100;
Almacén;Carmen de La Legua;0;0;0;500;7500;;425
Departamento;Santiago de Surco;1;0;0;45;2300;330;75
Local comercial;San Luis;0;1;0;23;500;394;56
Local comercial;Callao;0;0;0;30;600;700;70
Departamento;Pueblo Libre;3;1;0;105;4200;;
Departamento;San Borja;3;1;1;90;2800;930;80
Local comercial;Pachacámac;0;1;0;27;750;550;
Departamento;Ate;4;4;2;400;13000;1800;1500
Departamento;Ate;3;2;2;127;3250;1400;413
Departamento;Ate;4;4;4;235;12700;4400;1442
Departamento;La Punta;2;1;1;75;1600;630;
Departamento;Ate;2;1;2;86;2600;1200;250
Departamento;Chorrillos;2;0;1;122;3000;732;
Departamento;Comas;3;1;1;80;3900;1368;1136
Local comercial;Pachacámac;0;6;0;262;39324;5164;
Almacén;El Agustino;0;6;0;400;4100;;500
Local comercial;Chorrillos;0;3;0;240;19000;9000;1600
Habitación;Chorrillos;1;0;0;26;1200;320;
Departamento;San Miguel;2;1;1;70;2100;7409;
Departamento;Ate;2;1;0;70;1600;752;100
Local comercial;Pachacámac;0;8;0;361;28880;8375;2581
Local comercial;Carmen de La Legua;0;2;0;53;2400;1500;
Departamento;Comas;3;1;0;54;1200;393;
Departamento;Ate;1;1;0;52;2000;1966;450
Departamento;Comas;3;1;0;120;4100;1100;217
Local comercial;Pachacámac;0;5;0;541;47674;9210;
Departamento;San Borja;2;0;0;80;4300;800;
Local comercial;Ate;0;3;0;75;2400;1800;
Departamento;Lince;2;1;0;45;900;305;
Departamento;San Borja;3;1;1;228;3800;1800;420
Departamento;La Molina;2;0;0;73;900;350;17
Casa de villa;Chorrillos;2;0;0;60;2900;;68
Departamento;Ate;2;1;1;75;2500;750;150
Departamento;Rímac;3;1;0;95;4500;1159;249
Local comercial;Pachacámac;0;1;0;36;1500;625;779
Local comercial;Puente Piedra;0;5;0;170;8000;3500;800
Habitación;San Miguel;1;0;0;25;1000;449;
Casa en condominio;Ate;5;5;3;681;20000;1900;18000
Departamento;Santa María del Mar;2;1;0;48;800;223;
Departamento;Ventanilla;3;0;0;96;1400;713;
Casa comercial;Jesús María;0;2;0;350;9000;1;
Almacén;Jesús María;0;0;0;2000;23000;;1088
Departamento;Rímac;4;3;1;1180;8000;1500;565
Departamento;Ate;1;1;0;55;3000;1238;
Departamento;Chorrillos;3;1;2;108;5950;1400;289
Local comercial;Ate;0;1;0;32;950;947;253
Local comercial;Pachacámac;0;0;0;42;1800;350;91
Local comercial;Pachacámac;0;0;0;29;490;660;116
Departamento;Punta Hermosa;2;0;0;50;1400;410;29
Departamento;San Borja;2;0;0;74;3000;660;162
Departamento;Villa El Salvador;2;1;0;77;2200;966;75
Departamento;Rímac;3;1;1;155;7300;2650;450
Tienda/Salón;San Luis;0;0;0;800;25000;;
Departamento;Miraflores;2;1;0;76;1100;650;13
Tienda en Centro Comercial;La Perla;0;0;0;122;13900;5200;
Departamento;Ate;3;3;3;206;8000;3000;
Tienda/Salón;San Isidro;0;0;0;100;3000;;
Local comercial;Ate;0;1;0;27;1800;1800;112
Departamento;Ate;3;2;1;110;3200;1311;271
Tienda en Centro Comercial;Comas;0;1;0;30;2500;1400;220
Edificio completo;Ate;0;27;0;1300;130000;;13000
Departamento;Barranco;2;1;0;77;1300;170;
Departamento;San Borja;2;2;1;90;6000;1160;260
Departamento;Pueblo Libre;4;3;4;190;24900;3710;
Flat;Chorrillos;2;2;1;83;3691;1900;3000
Local comercial;Carmen de La Legua;0;1;0;25;900;648;2
Departamento;Ate;1;1;0;55;1500;2092;400
Local comercial;San Borja;0;0;0;30;750;640;178
Departamento;Ate;4;3;4;281;15000;5000;1300
Departamento;Santa Anita;1;1;0;87;1100;411;
Departamento;Rímac;5;5;5;900;30000;1500;2600
Departamento;Comas;3;1;1;152;7400;1890;706
Departamento;Chorrillos;3;1;1;108;2500;1200;
Departamento;Santa Anita;2;1;0;65;1000;300;13
Local comercial;Jesús María;0;1;0;28;1300;250;
Departamento;San Borja;3;1;1;171;7000;1317;364
Departamento;Ate;4;3;3;550;24000;8000;2000
Departamento;Jesús María;3;2;3;192;7500;960;2700
Departamento;Ate;4;0;4;206;6500;3000;
Departamento;Jesús María;2;2;1;85;1400;940;
Local comercial;Pachacámac;0;0;0;106;3500;2112;505
Departamento;Mi Perú;1;1;0;50;1100;500;
Local comercial;Ate;0;0;0;60;1100;2730;11620
Departamento;Villa El Salvador;2;0;0;93;4000;550;1500
Departamento;Jesús María;4;3;4;380;7500;1000;900
Departamento;Comas;3;3;3;188;14000;3800;900
Departamento;Rímac;2;0;0;86;4300;250;
Local comercial;Rímac;0;0;0;300;60000;3000;1960
Casa;Lince;2;1;1;70;1400;;130
Local comercial;Pachacámac;0;0;0;38;1000;1200;121
Departamento;Jesús María;3;2;3;195;3950;1000;450
Departamento;Pucusana;4;0;0;160;3000;200;85
Local comercial;Ate;0;1;0;22;1100;650;130
Departamento;Rímac;3;1;1;100;4500;1380;380
Departamento;Callao;2;1;1;92;1400;921;
Departamento;Villa El Salvador;4;1;1;240;8800;1700;
Departamento;Villa El Salvador;3;1;0;100;3650;1000;134
Departamento;Ate;4;3;4;288;10000;3800;
Local comercial;San Luis;0;0;0;60;700;;87
Departamento;Callao;2;0;1;77;1300;650;76
Departamento;Rímac;2;1;0;70;4200;1100;200
Habitación;Punta Hermosa;1;0;0;30;1200;380;
Departamento;Pachacámac;1;0;0;40;1100;707;70
Casa;Jesús María;4;3;2;510;10000;1100;760
Local comercial;Pachacámac;0;0;0;20;500;390;
Departamento;San Borja;1;0;0;30;2900;;
Casa comercial;Ventanilla;0;4;0;180;3700;;100
Local comercial;Pachacámac;0;0;0;379;15160;5613;1843
Local comercial;Pachacámac;0;8;0;801;130000;30154;2926
Local comercial;Ate;0;1;0;35;1200;1200;245
Departamento;San Borja;1;1;0;55;4000;1200;
Local comercial;Lurigancho;0;1;0;51;3200;1100;664
Tienda/Salón;Lince;0;0;0;45;1200;;
Departamento;Chorrillos;2;1;0;74;700;250;13
Departamento;San Borja;3;0;1;131;5000;1400;321
Departamento;Rímac;3;2;1;100;3950;2195;254
Casa;Ate;6;4;3;430;7500;150;
Departamento;San Borja;1;0;0;42;1600;590;
Departamento;Lince;2;1;0;48;1700;350;
Local comercial;Lince;0;2;0;91;2350;1117;105
Flat;Rímac;1;1;1;40;6000;;
Local comercial;Comas;0;1;0;28;1000;757;101
Local comercial;Ate;0;1;0;30;1200;979;160
Almacén;San Luis;0;6;0;893;33934;5340;3107
Local comercial;Pachacámac;0;0;0;35;450;1012;
Local comercial;Pachacámac;0;0;0;1141;62744;22109;3172
Loft;Ate;1;1;1;100;6000;1500;200
Departamento;San Miguel;3;1;0;80;2600;800;
Habitación;Chorrillos;0;0;0;23;1000;390;30
Departamento;Lince;2;1;1;80;2200;1300;1080
Departamento;Lurín;1;0;0;47;1900;380;
Departamento;Villa El Salvador;2;1;1;68;1200;332;27
Local comercial;Ate;0;1;0;40;2000;850;250
Departamento;Lince;2;1;2;64;1700;1400;77
Departamento;Rímac;3;2;1;330;14000;6600;1533
Departamento;Comas;3;2;1;200;15000;1900;5600
Departamento;San Luis;3;0;0;95;2200;400;93
Departamento;Santa Anita;3;2;1;108;1900;830;
Departamento;Lince;3;1;1;72;2200;600;70
Departamento;Lurigancho;3;1;1;115;4800;1600;360
Departamento;San Borja;1;0;1;52;1500;530;24
Departamento;Lurín;1;0;0;29;1100;320;25
Local comercial;Jesús María;0;1;0;32;900;500;135
Departamento;La Perla;1;1;0;52;2800;775;106
Departamento;Villa El Salvador;3;1;0;100;3500;785;
Departamento;Punta Negra;1;0;0;55;900;450;
Departamento;Ate;2;1;1;70;2500;1130;1500
Tienda/Salón;Villa El Salvador;0;0;0;67;3000;;
Local comercial;Puente Piedra;0;1;0;23;750;108;83
Departamento;Ate;4;4;4;261;9000;2480;
Departamento;Jesús María;2;1;1;67;2100;760;100
Edificio completo;Pachacámac;0;0;0;159;15000;;86
Departamento;Santa Rosa;2;1;0;67;700;551;35
Local comercial;Puente Piedra;0;20;0;2400;144000;32505;
Casa en condominio;Lince;2;0;2;100;2200;420;
Departamento;Chorrillos;2;0;0;70;2100;550;97
Departamento;Rímac;3;1;0;120;4700;1000;346
Departamento;Chorrillos;2;1;1;72;3300;702;164
Local comercial;San Luis;0;1;0;24;500;430;50
Tienda/Salón;Chorrillos;0;0;0;157;5000;;1180
Departamento;Chorrillos;1;0;1;90;3500;1000;380
Departamento;Comas;3;1;0;95;3900;1500;230
Habitación;San Borja;0;0;0;35;2500;472;25
Departamento;Ate;3;2;1;95;3000;925;220
Departamento;Villa El Salvador;1;0;0;50;1600;580;
Departamento;Callao;2;1;1;53;1300;580;
Tienda/Salón;Ate;0;1;0;100;10000;1400;1600
Casa en condominio;Ate;4;4;2;600;30000;1100;1300
Tienda/Salón;La Punta;0;6;0;579;10000;;2976
Departamento;San Juan de Miraflores;3;1;1;73;1300;784;84
Departamento;San Miguel;2;0;0;61;1700;690;89
Departamento;Ate;2;2;1;78;4200;3110;471
Flat;Chorrillos;1;1;0;50;2400;1100;30
Departamento;Lince;2;1;1;70;1100;460;
Departamento;Callao;1;1;0;56;1200;647;
Departamento;Ventanilla;2;0;0;45;1500;178;12
Tienda en Centro Comercial;Pachacámac;0;0;0;36;8000;;273
Departamento;Ate;4;0;4;206;7000;;
Tienda/Salón;Lurigancho;0;0;0;53;9200;;
Departamento;Comas;3;2;1;300;8900;1750;550
Local comercial;Pachacámac;0;0;0;68;1500;900;
Local comercial;Ate;0;1;0;24;800;297;56
Departamento;Ate;2;1;1;108;3300;550;
Departamento;San Borja;4;0;1;190;4000;2750;
Local comercial;La Punta;0;20;0;900;44000;19000;
Casa en condominio;Callao;3;3;3;128;3800;460;1500
Departamento;Pueblo Libre;2;3;2;120;10000;3000;1120
Departamento;Comas;2;1;1;90;9000;2500;
Departamento;San Borja;1;0;0;42;4000;2060;30
Casa en condominio;Jesús María;4;2;2;260;5800;1000;
Local comercial;San Miguel;0;1;0;40;1450;771;146
Departamento;San Borja;3;0;1;200;7500;1300;240
Local comercial;Punta Hermosa;0;1;0;60;3000;1934;329
Departamento;Jesús María;3;1;1;115;1500;780;270
Departamento;San Luis;2;1;1;56;1300;360;60
Departamento;Comas;2;1;1;97;8000;4700;4725
Tienda/Salón;Rímac;0;0;0;997;200000;;
Local comercial;Ate;0;2;0;72;2250;2600;
Departamento;Lurigancho;3;1;1;105;4000;1640;268
Departamento;Ate;3;2;1;150;12000;2600;7000
Departamento;Miraflores;5;4;4;210;11000;1800;
Departamento;San Borja;2;2;1;110;5000;950;150
Departamento;Pachacámac;1;0;0;40;1050;340;
Departamento;Los Olivos;1;0;0;54;760;80;
Departamento;Villa El Salvador;2;1;1;211;4500;2165;
Tienda/Salón;Rímac;0;0;0;12;1600;447;
Local comercial;Ate;0;1;0;22;700;666;106
Local comercial;Pachacámac;0;1;0;782;50830;24242;2643
Departamento;Breña;3;0;0;90;2700;1600;172
Departamento;Comas;4;1;1;120;6000;1300;
Local comercial;Ate;0;1;0;38;1200;1200;300
Departamento;San Borja;2;1;1;162;4490;1400;400
Departamento;Jesús María;1;1;0;40;1800;350;112
Local comercial;Ate;0;1;0;61;4200;1260;592
Departamento;San Borja;3;1;1;190;8500;1234;324
Edificio completo;San Luis;0;0;0;390;12000;;1500
Local comercial;Jesús María;0;1;0;30;1700;565;150
Habitación;Lurín;0;0;0;24;1300;;
Local comercial;Jesús María;0;0;0;30;1400;550;
Departamento;San Bartolo;2;0;0;50;2800;630;
Departamento;Lince;2;1;0;60;590;413;
Departamento;Pueblo Libre;2;0;0;68;2800;919;
Departamento;Lima;2;0;0;70;930;120;30
Departamento;Villa El Salvador;1;0;0;40;1700;540;30
Departamento;Ate;2;1;0;100;1000;300;13
Local comercial;Pachacámac;0;0;0;150;4000;4126;650
Departamento;Lince;3;2;1;83;2000;992;965
Departamento;San Borja;4;1;1;260;5800;2200;430
Departamento;Ate;4;2;2;140;4500;1780;6900
Departamento;Callao;2;1;0;55;1000;330;37
Departamento;Rímac;3;1;0;82;3800;1281;180
Departamento;Lurigancho;2;1;0;98;3100;800;195
